beat,start,end,duration,frames,words,wps,transition,label,visual,audio
1,0.0,3.34,3.34,200,13,3.89,revealing,PAY ATTENTION,A hand building a sandwich with a big red arrow pointing at it,audio/beat01.mp3
2,3.34,7.2,3.86,232,15,3.89,cut,UNDER 30 MINUTES,A knife slicing an onion beside a stopwatch reading thirty minutes,audio/beat02.mp3
3,7.2,10.54,3.34,200,13,3.89,cut,IN MINUTES,"A calendar with weeks crossed out, a stopwatch with minutes circled",audio/beat03.mp3
4,10.54,13.88,3.34,200,13,3.89,cut,EVERY SINGLE DAY,"A crowd of people of different ages all eating onions, none aware",audio/beat04.mp3
5,13.88,17.48,3.6,216,14,3.89,cut,NOBODY KNOWS,"Three generations at a table with onions, all with question marks above",audio/beat05.mp3
6,17.48,21.59,4.11,247,16,3.89,cut,MOST MISUNDERSTOOD,"A globe with onions scattered over every continent, a question mark",audio/beat06.mp3
7,21.59,25.45,3.86,232,15,3.89,switching,YOUR LAST MEAL,"A burger with onion rings peeking out, a thought bubble above",audio/beat07.mp3
8,25.45,28.79,3.34,200,13,3.89,cut,RAW ON A SALAD,"Raw onion rings scattered on a salad bowl, half hidden under leaves",audio/beat08.mp3
9,28.79,31.88,3.09,185,12,3.88,cut,INTO THE SAUCE,"Onion pieces falling into a simmering sauce pan, unnoticed",audio/beat09.mp3
10,31.88,34.97,3.09,185,12,3.88,cut,JUST THERE,A plate with an onion shrugging quietly in the corner,audio/beat10.mp3
11,34.97,38.83,3.86,232,15,3.89,cut,BACKGROUND NOISE,A hand pushing an onion slice to the edge of a plate,audio/beat11.mp3
12,38.83,42.17,3.34,200,13,3.89,cut,THE PROBLEM,An onion wearing a Superman cape nobody is looking at,audio/beat12.mp3
13,42.17,45.51,3.34,200,13,3.89,cut,WE EXPECT DRAMA,A shelf of exotic glowing fruit with dramatic spotlights,audio/beat13.mp3
14,45.51,49.62,4.11,247,16,3.89,cut,EXPENSIVE PROMISES,A supplement bottle covered in promise words and a large price sticker,audio/beat14.mp3
15,49.62,53.48,3.86,232,15,3.89,switching,SITTING IGNORED,A glowing compound molecule sitting alone on a kitchen counter,audio/beat15.mp3
16,53.48,57.34,3.86,232,15,3.89,cut,LESS THAN A DOLLAR,An onion on a shop shelf with a price tag reading under one dollar,audio/beat16.mp3
17,57.34,60.68,3.34,200,13,3.89,cut,BILLIONS SPENT,A mountain of money with a heart shape and pill bottles on top,audio/beat17.mp3
18,60.68,63.77,3.09,185,12,3.88,cut,PILLS AND POWDERS,Pills and powder tubs with arrows pointing at a healthy heart diagram,audio/beat18.mp3
19,63.77,67.63,3.86,232,15,3.89,cut,FREE ALREADY,"A factory processing plant beside a free vegetable, price tags compared",audio/beat19.mp3
20,67.63,70.97,3.34,200,13,3.89,cut,YOU OWN IT,A person walking past an onion bowl in their own kitchen,audio/beat20.mp3
21,70.97,74.57,3.6,216,14,3.89,revealing,QUERCETIN,An onion cut open revealing a glowing molecule labelled quercetin,audio/beat21.mp3
22,74.57,77.91,3.34,200,13,3.89,cut,THE INNER LINING,A quercetin molecule travelling toward the wall of a blood vessel,audio/beat22.mp3
23,77.91,82.02,4.11,247,16,3.89,cut,THE ENDOTHELIUM,A blood vessel wall highlighted with a name tag reading endothelium,audio/beat23.mp3
24,82.02,85.88,3.86,232,15,3.89,cut,ACTIVE TISSUE,A vessel cross-section widening and narrowing like a camera aperture,audio/beat24.mp3
25,85.88,89.22,3.34,200,13,3.89,cut,CONSTANT DECISIONS,Endothelial cells as little workers pulling levers to control flow,audio/beat25.mp3
26,89.22,92.56,3.34,200,13,3.89,cut,NITRIC OXIDE,Quercetin docking into a cell and tiny nitric oxide bubbles bursting out,audio/beat26.mp3
27,92.56,96.16,3.6,216,14,3.89,cut,RELAX AND WIDEN,"A nitric oxide molecule holding a megaphone, vessel walls relaxing outward",audio/beat27.mp3
28,96.16,99.5,3.34,200,13,3.89,cut,FASTER FLOW,Red blood cells racing smoothly through a wide open vessel tunnel,audio/beat28.mp3
